country,year,life_ladder,logGDP,social_support,life_exp,freedom,generosity,corruption,continent
Indonesia,2016,5.136325359344482,9.287412643432617,0.7918305993080139,60.4772834777832,0.8299416303634644,0.4859275817871094,0.8896774053573608,Asia
Iran,2016,4.652730941772461,9.748827934265137,0.5662811994552612,65.6570816040039,NA,0.1568540632724762,NA,Asia
Iraq,2016,4.412537097930908,9.586719512939453,0.718956708908081,60.853660583496094,0.6661601662635803,-0.0829150602221489,0.7988664507865906,Asia
Ireland,2016,7.040731430053711,10.901152610778809,0.9581440091133118,71.40406799316406,0.8745891451835632,0.1717856377363205,0.3985443115234375,Europe
Israel,2016,7.159010887145996,10.367464065551758,0.8896607756614685,72.306243896484375,0.7722973227500916,0.14669249951839447,0.8040565848350525,Asia
Italy,2016,5.954524040222168,10.431843757629395,0.9272128343582153,72.7275619506836,0.623741626739502,-0.08727662265300751,0.9028012156486511,Europe
Ivory Coast,2016,4.542545795440674,8.157474517822266,0.6174007654190063,45.35932159423828,0.7687893509864807,-0.026616128161549568,0.7574533820152283,Africa
Japan,2016,5.95465087890625,10.493810653686523,0.8997738361358643,75.08885192871094,0.8360646367073059,-0.07560616731643677,0.6976393461227417,Asia
Jordan,2016,5.271284580230713,9.23994255065918,0.8199447393417358,64.30827331542969,0.771350622177124,-0.0529453419148922,NA,Asia
Kazakhstan,2016,5.5335516929626465,10.086565017700195,0.9278106689453125,65.25882720947266,0.7828055620193481,-0.053312744945287704,0.7020166516304016,Asia
Kenya,2016,4.396127700805664,8.00462532043457,0.7059215903282166,54.582645416259766,0.7485082745552063,0.31537044048309326,0.8284115791320801,Africa
Kosovo,2016,5.7594122886657715,9.164076805114746,0.8238027095794678,62.2653923034668,0.8273985981941223,0.11829041689634323,0.9408979415893555,Asia
Kuwait,2016,5.947194576263428,11.089804649353027,0.8452220559120178,65.22395324707031,0.8409671783447266,-0.113090381026268,NA,Asia
Kyrgyzstan,2016,4.856534004211426,8.091743469238281,0.9143754839897156,62.59346389770508,0.8139392137527466,0.08191780000925064,0.9169228076934814,Asia
Latvia,2016,5.940446376800537,10.052936553955078,0.9170739650726318,65.52488708496094,0.685299277305603,-0.1626577228307724,0.8676396012306213,Europe
Lebanon,2016,5.270723819732666,9.456853866577148,0.8278859257698059,68.87224578857422,0.6573574542999268,0.03452610969543457,0.8531144857406616,Asia
Lesotho,2016,3.8082048892974854,7.858116149902344,0.7980592846870422,43.37739562988281,0.7294898629188538,-0.09374170005321503,0.7428733706474304,Africa
Liberia,2016,3.3546760082244873,6.681718826293945,0.6426146030426025,51.54916000366211,0.7634760141372681,0.0857057124376297,0.9012674689292908,Africa
Libya,2016,5.4335832595825195,9.625382423400879,0.8760658502578735,61.29749298095703,0.8223848342895508,-0.12947410345077515,NA,Africa
Lithuania,2016,5.8655524253845215,10.216113090515137,0.937873363494873,65.05998992919922,0.6142393350601196,-0.2738747298717499,0.9493926763534546,Europe
Luxembourg,2016,6.96734094619751,11.459248542785645,0.941260576248169,72.89732360839844,0.882365345954895,0.003842964768409729,0.3563363254070282,Europe
Macedonia,2016,5.345746040344238,9.486315727233887,0.8712122440338135,65.69872283935547,0.7061793208122253,0.07731916010379791,0.8697190284729004,Europe
Madagascar,2016,3.6630859375,7.233386039733887,0.7464969754219055,56.640567779541016,0.5696454048156738,-0.057400766760110855,0.8641711473464966,Africa
Malawi,2016,3.4764926433563232,7.013695240020752,0.52429962158203125,55.28212356567383,0.8098841309547424,0.06443390250205994,0.8236150145530701,Africa
Mali,2016,4.016027927398682,7.756872653961182,0.8362545371055603,49.59024429321289,0.6960073709487915,-0.07524459809064865,0.8623266816139221,Africa
Malta,2016,6.590842247009277,NA,0.9303693771362305,71.654205322265625,0.9160236120223999,NA,0.6964946389198303,Europe
Mauritania,2016,4.47214937210083,8.249141693115234,0.7848268747329712,53.373809814453125,0.4665614664554596,-0.15960127115249634,0.8418351411819458,Africa
Mauritius,2016,5.610003471374512,9.852088928222656,0.8360321521759033,65.48225402832031,0.819175660610199,0.12927399575710297,0.890661358833313,Africa
Mexico,2016,6.8241729736328125,9.724581718444824,0.893492579460144,67.9699478149414,0.7516130805015564,-0.15693670511245728,0.8085794448852539,North America
Moldova,2016,5.577784061431885,8.469793319702148,0.8373214602470398,63.908206939697266,0.5573694705963135,0.005702797323465347,0.969482958316803,Europe
Mongolia,2016,5.056999683380127,9.337590217590332,0.9474893808364868,62.92665481567383,0.759740948677063,0.07467129826545715,0.9004521369934082,Asia
Montenegro,2016,5.304066181182861,9.651939392089844,0.8657436966896057,66.5225601196289,0.5686336755752563,-0.08877085894346237,0.8489665985107422,Europe
Morocco,2016,5.386307239532471,8.90747356414795,0.6554093360900879,64.11890411376953,0.8165560960769653,-0.24951063096523285,0.7173561453819275,Africa
Myanmar,2016,4.623119831085205,NA,0.7934619784355164,57.22917938232422,0.8774911761283875,NA,0.6072865724563599,Asia
Nepal,2016,5.099539756774902,7.740420818328857,0.8370436429977417,61.056365966796875,0.8394884467124939,0.1840856522321701,0.8171148896217346,Asia
Netherlands,2016,7.540877342224121,10.757150650024414,0.9259442090988159,71.267242431640625,0.9073100090026855,0.22608226537704468,0.43330425024032593,Europe
New Zealand,2016,7.2256879806518555,10.467626571655273,0.9366028904914856,71.4731674194336,0.9265760183334351,0.25616130232810974,0.27827078104019165,Oceania
Nicaragua,2016,6.012739658355713,8.526226997375488,0.8527024388313293,66.10491943359375,0.7165342569351196,0.0429624505341053,0.7314649224281311,North America
Niger,2016,4.234645843505859,6.812114715576172,0.6828282475471497,53.15184020996094,0.7019273042678833,0.00690082460641861,0.8144938945770264,Africa
Nigeria,2016,5.219567775726318,8.619102478027344,0.8047669529914856,45.470584869384766,0.7976905107498169,0.032563466578722,0.9047068357467651,Africa
North Cyprus,2016,5.827127933502197,NA,0.8076902627944946,NA,0.7962338328361511,NA,0.6701914072036743,Europe
Norway,2016,7.596331596374512,11.068572044372559,0.9597428441047668,70.78459167480469,0.9543523192405701,0.10553884506225586,0.40966612100601196,Europe
Pakistan,2016,5.548508167266846,8.48855972290039,0.6269212961196899,57.39804458618164,0.6341828107833862,0.08183983713388443,0.7925300598144531,Asia
Palestinian Territories,2016,4.906618118286133,8.461804389953613,0.8177709579467773,62.954994201660156,0.6076694130897522,-0.13239888846874237,0.8124646544456482,Asia
Panama,2016,6.117638111114502,9.990102767944336,0.8824602365493774,67.82401275634766,0.8844797611236572,-0.09841883927583694,0.8369767665863037,North America
Paraguay,2016,5.801380157470703,9.081317901611328,0.9398669600486755,63.41120910644531,0.8535342812538147,-0.058368079364299774,0.7561162710189819,South America
Peru,2016,5.700628757476807,9.386458396911621,0.8028564453125,65.267486572265625,0.8298438787460327,-0.14401432871818542,0.8659195899963379,South America
Philippines,2016,5.430832862854004,8.89052677154541,0.8212987184524536,59.59458923339844,0.9075957536697388,-0.07619868963956833,0.791962206363678,Asia
Poland,2016,6.162076473236084,10.150001525878906,0.9173988103866577,67.66214752197266,0.8707075119018555,-0.10094749927520752,0.8477539420127869,Europe
Portugal,2016,5.446637153625488,10.208602905273438,0.9046353697776794,70.75627899169922,0.8380693197250366,-0.2324792444705963,0.922192394733429,Europe
Romania,2016,5.968870639801025,9.942670822143555,0.8092291951179504,66.94844818115234,0.8217206001281738,-0.11826721578836441,0.9490445256233215,Europe
Russia,2016,5.854945659637451,10.06230640411377,0.9109273552894592,62.207496643066406,0.7136062979698181,-0.19270217418670654,0.9254627227783203,Asia
Rwanda,2016,3.3329899311065674,7.45522928237915,0.6651309132575989,55.0908088684082,0.9107363820075989,0.03495905175805092,0.15860138833522797,Africa
Saudi Arabia,2016,6.473921298980713,10.822869300842285,0.8899323344230652,63.850860595703125,0.7742677330970764,-0.15767808258533478,NA,Asia
Senegal,2016,4.594533920288086,7.769750595092773,0.8389943838119507,57.88771057128906,0.7437296509742737,-0.06817606836557388,0.794353723526001,Africa
Serbia,2016,5.7527546882629395,9.484399795532227,0.8948949575424194,66.0674819946289,0.6143708229064941,-0.06684431433677673,0.889765202999115,Europe
